City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Bonthe,SL,2021-10-20 00:02:15,7.5264,-12.505,78.96,84,78,4.05
280,Adrar,MR,2021-10-20 00:02:15,20.5022,-10.0711,79.77,13,3,11.1
281,Husavik,IS,2021-10-20 00:02:16,66.0449,-17.3389,33.22,65,100,22.32
282,Eregli,TR,2021-10-20 00:02:16,37.5133,34.0467,54.79,51,97,3.6
283,Bundaberg,AU,2021-10-20 00:02:17,-24.85,152.35,83.21,55,2,5.01
284,Asosa,ET,2021-10-20 00:02:17,10.0667,34.5333,61.52,68,60,5.46
285,Kokstad,ZA,2021-10-20 00:00:28,-30.5472,29.4241,44.76,95,12,3.24
286,Kandrian,PG,2021-10-20 00:02:18,-6.2167,149.55,83.98,72,68,4.36
287,Zhoukou,CN,2021-10-20 00:02:18,33.6333,114.6333,51.13,83,100,4.68
288,Zheleznodorozhnyy,RU,2021-10-20 00:02:19,55.7503,38.0042,35.78,91,98,7.36
289,Agadir,MA,2021-10-20 00:02:19,30.4202,-9.5982,63.05,47,73,9.6
290,Rauma,FI,2021-10-20 00:02:19,61.1272,21.5113,41.04,87,100,23.11
291,Clyde River,CA,2021-10-20 00:02:20,70.4692,-68.5914,29.57,79,73,4.27
